 dist       E[Ha]
 0.70        -99.92109853
 0.80        -99.99457048
 0.85       -100.00790348
 0.87       -100.01037754
 0.89       -100.01154231
 0.90       -100.01169048
 0.91       -100.01157646
 0.93       -100.01063566
 0.95       -100.00885551
 1.00       -100.00147072
 1.10        -99.97849404
 1.20        -99.95012527
 1.30        -99.92015638
