Wavenumber (cm^-1),Transmittance (%)
852.424400,90.257336
854.353000,89.980448
856.281500,89.657344
858.210100,89.320291
860.138600,89.036383
862.067200,88.837713
863.995800,88.581608
865.924300,87.935347
867.852900,86.516247
869.781400,83.800982
871.710000,79.525284
873.638500,74.828235
875.567100,72.341915
877.495700,73.235626
879.424300,76.033818
881.352800,79.044562
883.281400,81.660260
885.210000,83.760812
887.138500,85.327236
889.067100,86.414595
890.995600,87.164218
892.924200,87.688003
894.852800,88.021890
896.781300,88.018927
898.709900,87.529517
900.638400,86.158026
902.567000,83.088294
904.495500,80.056817
906.424100,82.117145
908.352700,86.990669
910.281300,89.639394
912.209800,90.547282
914.138400,90.861441
916.067000,90.963399
917.995500,90.926114
919.924100,90.860410
921.852600,90.707442
923.781200,90.453257
925.709800,89.980160
927.638300,89.215832
929.566900,88.258796
931.495400,87.714199
933.424000,87.939194
935.352500,88.559399
937.281100,89.029208
939.209700,89.242106
941.138200,89.297214
943.066800,89.380992
944.995400,89.484954
946.924000,89.531298
948.852500,89.485267
950.781100,89.395035
952.709600,89.217116
954.638200,88.931120
956.566700,88.512229
958.495300,88.032450
960.423900,87.532889
962.352400,87.055413
964.281000,86.577380
966.209500,86.141669
968.138100,85.799107
970.066700,85.621109
971.995200,85.526494
973.923800,85.374633
975.852400,84.973679
977.780900,84.155625
979.709500,82.680046
981.638100,80.457681
983.566600,78.094275
985.495200,77.280870
987.423700,78.666875
989.352300,80.752376
991.280900,82.250993
993.209400,83.156494
995.138000,83.603775
997.066500,83.616630
998.995100,83.353224
1000.924000,83.076980
1002.852000,82.726563
1004.781000,82.076105
1006.709000,80.990927
1008.638000,79.489159
1010.566000,77.601533
1012.495000,75.432170
1014.424000,72.912435
1016.352000,69.898909
1018.281000,65.886312
1020.209000,60.572165
1022.138000,57.173990
1024.066000,59.830964
1025.995000,64.993975
1027.924000,67.849164
1029.852000,68.257236
1031.781000,67.069242
1033.709000,64.899358
1035.638000,62.291860
1037.566000,59.954143
1039.495000,58.512277
1041.423000,58.381157
1043.352000,59.351828
1045.281000,60.857821
1047.209000,61.869556
1049.138000,60.316759
1051.066000,55.279448
1052.995000,54.495733
1054.923000,63.038374
1056.852000,72.058962
1058.781000,77.047260
1060.709000,79.815539
1062.638000,81.753034
1064.566000,83.248179
1066.495000,84.433490
1068.423000,85.313420
1070.352000,85.986527
1072.281000,86.467561
1074.209000,86.821579
1076.138000,87.022805
1078.066000,87.100005
1079.995000,87.000466
1081.923000,86.701911
1083.852000,86.086470
1085.780000,84.949898
1087.709000,82.930690
1089.638000,79.647953
1091.566000,74.735750
1093.495000,69.635388
1095.423000,69.162136
1097.352000,73.620540
1099.280000,77.136868
1101.209000,78.019022
1103.137000,78.461553
1105.066000,80.031412
1106.995000,81.754198
1108.923000,82.524771
1110.852000,81.988521
