# HCl spectrum
# xmin= 2650 cm^-1
# xmax= 3100 cm^-1

Wavenumber, Absorbance
2686.88, 0.0235
2687, 0.0236
2687.12, 0.0231
2687.25, 0.0225
2687.38, 0.0225
2687.5, 0.023
2687.62, 0.0236
2687.75, 0.0235
2687.88, 0.0231
2688, 0.0229
2688.12, 0.0236
2688.25, 0.0246
2688.38, 0.0248
2688.5, 0.0238
2688.62, 0.0224
2688.75, 0.0219
2688.88, 0.0225
2689, 0.0234
2689.12, 0.0238
2689.25, 0.0236
2689.38, 0.023
2689.5, 0.0226
2689.62, 0.0227
2689.75, 0.0231
2689.88, 0.023
2690, 0.0224
2690.12, 0.022
2690.25, 0.0224
2690.38, 0.0233
2690.5, 0.0237
2690.62, 0.0233
2690.75, 0.023
2690.88, 0.0236
2691, 0.0244
2691.12, 0.0245
2691.25, 0.0238
2691.38, 0.0231
2691.5, 0.0232
2691.62, 0.0239
2691.75, 0.0246
2691.88, 0.0246
2692, 0.0242
2692.12, 0.0236
2692.25, 0.0235
2692.38, 0.0236
2692.5, 0.0237
2692.62, 0.0234
2692.75, 0.0232
2692.88, 0.0233
2693, 0.0236
2693.12, 0.0237
2693.25, 0.0234
2693.38, 0.0231
2693.5, 0.0231
2693.62, 0.0236
2693.75, 0.0241
2693.88, 0.0242
2694, 0.0237
2694.12, 0.0231
2694.25, 0.023
2694.38, 0.0235
2694.5, 0.024
2694.62, 0.024
2694.75, 0.0237
2694.88, 0.0238
2695, 0.0244
2695.12, 0.0247
2695.25, 0.0244
2695.38, 0.0236
2695.5, 0.023
2695.62, 0.023
2695.75, 0.0231
2695.88, 0.0229
2696, 0.0223
2696.12, 0.022
2696.25, 0.0223
2696.38, 0.0229
2696.5, 0.0231
2696.62, 0.0226
2696.75, 0.0222
2696.88, 0.0224
2697, 0.0229
2697.12, 0.0234
2697.25, 0.0232
2697.38, 0.0227
2697.5, 0.0223
2697.62, 0.0225
2697.75, 0.0232
2697.88, 0.0238
2698, 0.0238
2698.12, 0.0234
2698.25, 0.0231
2698.38, 0.0233
2698.5, 0.0234
2698.62, 0.0231
2698.75, 0.0224
2698.88, 0.022
2699, 0.0223
2699.12, 0.0232
2699.25, 0.0241
2699.38, 0.0244
2699.5, 0.024
2699.62, 0.0235
2699.75, 0.0234
2699.88, 0.0238
2700, 0.0241
2700.12, 0.0239
2700.25, 0.0236
2700.38, 0.0234
2700.5, 0.0235
2700.62, 0.0237
2700.75, 0.0241
2700.88, 0.0253
2701, 0.0274
2701.12, 0.0295
2701.25, 0.03
2701.38, 0.0281
2701.5, 0.0251
2701.62, 0.0232
2701.75, 0.0232
2701.88, 0.0241
2702, 0.0243
2702.12, 0.0234
2702.25, 0.0227
2702.38, 0.0228
2702.5, 0.0238
2702.62, 0.0263
2702.75, 0.0314
2702.88, 0.0382
2703, 0.043
2703.12, 0.0422
2703.25, 0.0363
2703.38, 0.0295
2703.5, 0.0252
2703.62, 0.0235
2703.75, 0.0231
2703.88, 0.023
2704, 0.0233
2704.12, 0.0236
2704.25, 0.0236
2704.38, 0.0237
2704.5, 0.024
2704.62, 0.0245
2704.75, 0.0246
2704.88, 0.024
2705, 0.0233
2705.12, 0.023
2705.25, 0.0232
2705.38, 0.0234
2705.5, 0.0236
2705.62, 0.0236
2705.75, 0.0236
2705.88, 0.0235
2706, 0.0233
2706.12, 0.0231
2706.25, 0.0229
2706.38, 0.0229
2706.5, 0.0229
2706.62, 0.0232
2706.75, 0.0236
2706.88, 0.0239
2707, 0.024
2707.12, 0.0239
2707.25, 0.0238
2707.38, 0.0236
2707.5, 0.0233
2707.62, 0.0229
2707.75, 0.0229
2707.88, 0.0233
2708, 0.0236
